,hero,Player,Role,Level,Kills,Deaths,Assists,KDA,CS,CS in Team's Jungle,CS in Enemy Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,Shutdown bounty collected,Shutdown bounty lost,TEAM,WIN_LOSE,game_ID,Tournamets,Patch,Date
4,Alistar,JieZou,SUPPORT,,0,1,13,13,33,,,0.9,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.37,76.5%,,,,,,,,,,,,,,,,,,,,,,,,,Snake eSports,WIN,3989,LPL Summer 2016,6.13,2016-07-17
5,Maokai,Loong,TOP,,2,4,3,1.3,242,,,6.9,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.14,71.4%,,,,,,,,,,,,,,,,,,,,,,,,,Vici Gaming,LOSS ,3989,LPL Summer 2016,6.13,2016-07-17
6,Nidalee,DanDy,JUNGLE,,3,2,3,3,147,,,4.2,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.17,85.7%,,,,,,,,,,,,,,,,,,,,,,,,,Vici Gaming,LOSS ,3989,LPL Summer 2016,6.13,2016-07-17
7,Lissandra,Easyhoon,MID,,0,5,4,0.8,309,,,8.8,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.11,57.1%,,,,,,,,,,,,,,,,,,,,,,,,,Vici Gaming,LOSS ,3989,LPL Summer 2016,6.13,2016-07-17
8,Lucian,Endless,ADC,,2,1,2,4,326,,,9.3,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.11,57.1%,,,,,,,,,,,,,,,,,,,,,,,,,Vici Gaming,LOSS ,3989,LPL Summer 2016,6.13,2016-07-17
9,Braum,Caveman,SUPPORT,,0,5,5,1,44,,,1.3,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.14,71.4%,,,,,,,,,,,,,,,,,,,,,,,,,Vici Gaming,LOSS ,3989,LPL Summer 2016,6.13,2016-07-17
0,Trundle,Loong,TOP,,4,2,8,6,328,,,7.3,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.27,80%,,,,,,,,,,,,,,,,,,,,,,,,,Vici Gaming,WIN,3990,LPL Summer 2016,6.13,2016-07-17
1,Elise,DanDy,JUNGLE,,3,1,8,11,164,,,3.6,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.24,73.3%,,,,,,,,,,,,,,,,,,,,,,,,,Vici Gaming,WIN,3990,LPL Summer 2016,6.13,2016-07-17
2,Ryze,Easyhoon,MID,,2,2,8,5,319,,,7.1,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.22,66.7%,,,,,,,,,,,,,,,,,,,,,,,,,Vici Gaming,WIN,3990,LPL Summer 2016,6.13,2016-07-17
3,Sivir,XuanXuanPi,ADC,,6,1,5,11,404,,,9,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.24,73.3%,,,,,,,,,,,,,,,,,,,,,,,,,Vici Gaming,WIN,3990,LPL Summer 2016,6.13,2016-07-17
4,Alistar,Caveman,SUPPORT,,0,5,14,2.8,37,,,0.8,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.31,93.3%,,,,,,,,,,,,,,,,,,,,,,,,,Vici Gaming,WIN,3990,LPL Summer 2016,6.13,2016-07-17
5,Irelia,Flandre,TOP,,3,4,3,1.5,341,,,7.6,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.13,54.5%,,,,,,,,,,,,,,,,,,,,,,,,,Snake eSports,LOSS ,3990,LPL Summer 2016,6.13,2016-07-17
6,Rek,SofM,JUNGLE,,1,2,9,5,222,,,4.9,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.22,90.9%,,,,,,,,,,,,,,,,,,,,,,,,,Snake eSports,LOSS ,3990,LPL Summer 2016,6.13,2016-07-17
7,Azir,TANK,MID,,3,3,6,3,409,,,9.1,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.2,81.8%,,,,,,,,,,,,,,,,,,,,,,,,,Snake eSports,LOSS ,3990,LPL Summer 2016,6.13,2016-07-17
8,Lucian,Martin,ADC,,4,4,6,2.5,342,,,7.6,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.22,90.9%,,,,,,,,,,,,,,,,,,,,,,,,,Snake eSports,LOSS ,3990,LPL Summer 2016,6.13,2016-07-17
9,Braum,JieZou,SUPPORT,,0,2,6,3,44,,,1,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.13,54.5%,,,,,,,,,,,,,,,,,,,,,,,,,Snake eSports,LOSS ,3990,LPL Summer 2016,6.13,2016-07-17
0,Maokai,Flandre,TOP,,1,2,7,4,261,,,6.9,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.21,66.7%,,,,,,,,,,,,,,,,,,,,,,,,,Snake eSports,WIN,3991,LPL Summer 2016,6.13,2016-07-17
1,Rek,SofM,JUNGLE,,1,3,8,3,158,,,4.2,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.24,75%,,,,,,,,,,,,,,,,,,,,,,,,,Snake eSports,WIN,3991,LPL Summer 2016,6.13,2016-07-17
2,Azir,TANK,MID,,3,0,6,Perfect KDA,368,,,9.8,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.24,75%,,,,,,,,,,,,,,,,,,,,,,,,,Snake eSports,WIN,3991,LPL Summer 2016,6.13,2016-07-17
3,Ashe,Martin,ADC,,6,1,6,12,311,,,8.3,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.32,100%,,,,,,,,,,,,,,,,,,,,,,,,,Snake eSports,WIN,3991,LPL Summer 2016,6.13,2016-07-17
4,Alistar,JieZou,SUPPORT,,1,0,9,Perfect KDA,42,,,1.1,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.27,83.3%,,,,,,,,,,,,,,,,,,,,,,,,,Snake eSports,WIN,3991,LPL Summer 2016,6.13,2016-07-17
5,Trundle,Loong,TOP,,1,2,5,3,246,,,6.5,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.16,100%,,,,,,,,,,,,,,,,,,,,,,,,,Vici Gaming,LOSS ,3991,LPL Summer 2016,6.13,2016-07-17
6,Elise,DanDy,JUNGLE,,3,1,3,6,143,,,3.8,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.16,100%,,,,,,,,,,,,,,,,,,,,,,,,,Vici Gaming,LOSS ,3991,LPL Summer 2016,6.13,2016-07-17
7,Ryze,Easyhoon,MID,,1,3,4,1.7,334,,,8.9,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.13,83.3%,,,,,,,,,,,,,,,,,,,,,,,,,Vici Gaming,LOSS ,3991,LPL Summer 2016,6.13,2016-07-17
8,Sivir,XuanXuanPi,ADC,,1,1,3,4,359,,,9.5,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.11,66.7%,,,,,,,,,,,,,,,,,,,,,,,,,Vici Gaming,LOSS ,3991,LPL Summer 2016,6.13,2016-07-17
9,Braum,Caveman,SUPPORT,,0,5,3,0.6,58,,,1.5,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.08,50%,,,,,,,,,,,,,,,,,,,,,,,,,Vici Gaming,LOSS ,3991,LPL Summer 2016,6.13,2016-07-17
0,Irelia,Mouse,TOP,,2,1,9,11,277,,,7.4,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.29,61.1%,,,,,,,,,,,,,,,,,,,,,,,,,Edward Gaming,WIN,3986,LPL Summer 2016,6.13,2016-07-17
1,Gragas,ClearLove,JUNGLE,,4,1,10,14,157,,,4.2,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.37,77.8%,,,,,,,,,,,,,,,,,,,,,,,,,Edward Gaming,WIN,3986,LPL Summer 2016,6.13,2016-07-17
2,Vladimir,PawN,MID,,4,0,9,Perfect KDA,375,,,10,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.35,72.2%,,,,,,,,,,,,,,,,,,,,,,,,,Edward Gaming,WIN,3986,LPL Summer 2016,6.13,2016-07-17
3,Sivir,Deft,ADC,,7,0,9,Perfect KDA,332,,,8.8,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.42,88.9%,,,,,,,,,,,,,,,,,,,,,,,,,Edward Gaming,WIN,3986,LPL Summer 2016,6.13,2016-07-17
4,Thresh,meiko,SUPPORT,,1,2,15,8,47,,,1.2,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.42,88.9%,,,,,,,,,,,,,,,,,,,,,,,,,Edward Gaming,WIN,3986,LPL Summer 2016,6.13,2016-07-17
5,Shen,AmazingJ,TOP,,3,2,1,2,259,,,6.9,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.11,100%,,,,,,,,,,,,,,,,,,,,,,,,,I MAY,LOSS ,3986,LPL Summer 2016,6.13,2016-07-17
6,Rek,Avoidless,JUNGLE,,0,3,3,1,133,,,3.5,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.08,75%,,,,,,,,,,,,,,,,,,,,,,,,,I MAY,LOSS ,3986,LPL Summer 2016,6.13,2016-07-17
7,Ryze,BaeMe,MID,,0,3,0,0,353,,,9.4,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,I MAY,LOSS ,3986,LPL Summer 2016,6.13,2016-07-17
8,Ashe,jinjiao,ADC,,1,3,1,0.7,359,,,9.5,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.05,50%,,,,,,,,,,,,,,,,,,,,,,,,,I MAY,LOSS ,3986,LPL Summer 2016,6.13,2016-07-17
9,Bard,road,SUPPORT,,0,7,1,0.1,42,,,1.1,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.03,25%,,,,,,,,,,,,,,,,,,,,,,,,,I MAY,LOSS ,3986,LPL Summer 2016,6.13,2016-07-17
0,Trundle,AmazingJ,TOP,,1,4,3,1,289,,,8.6,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.12,44.4%,,,,,,,,,,,,,,,,,,,,,,,,,I MAY,LOSS,3987,LPL Summer 2016,6.13,2016-07-17
1,Hecarim,Avoidless,JUNGLE,,4,2,2,3,133,,,4,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.18,66.7%,,,,,,,,,,,,,,,,,,,,,,,,,I MAY,LOSS,3987,LPL Summer 2016,6.13,2016-07-17
2,Ryze,Athena,MID,,3,3,4,2.3,304,,,9.1,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.21,77.8%,,,,,,,,,,,,,,,,,,,,,,,,,I MAY,LOSS,3987,LPL Summer 2016,6.13,2016-07-17
3,Jhin,jinjiao,ADC,,1,2,4,2.5,259,,,7.7,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.15,55.6%,,,,,,,,,,,,,,,,,,,,,,,,,I MAY,LOSS,3987,LPL Summer 2016,6.13,2016-07-17
4,Thresh,road,SUPPORT,,0,4,8,2,45,,,1.3,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.24,88.9%,,,,,,,,,,,,,,,,,,,,,,,,,I MAY,LOSS,3987,LPL Summer 2016,6.13,2016-07-17
5,Irelia,Mouse,TOP,,5,1,6,11,320,,,9.5,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.33,78.6%,,,,,,,,,,,,,,,,,,,,,,,,,Edward Gaming,WIN ,3987,LPL Summer 2016,6.13,2016-07-17
6,Rek,ClearLove,JUNGLE,,5,1,7,12,163,,,4.9,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.36,85.7%,,,,,,,,,,,,,,,,,,,,,,,,,Edward Gaming,WIN ,3987,LPL Summer 2016,6.13,2016-07-17
7,Azir,PawN,MID,,1,3,7,2.7,293,,,8.7,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.24,57.1%,,,,,,,,,,,,,,,,,,,,,,,,,Edward Gaming,WIN ,3987,LPL Summer 2016,6.13,2016-07-17
8,Sivir,Deft,ADC,,1,2,11,6,288,,,8.6,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.36,85.7%,,,,,,,,,,,,,,,,,,,,,,,,,Edward Gaming,WIN ,3987,LPL Summer 2016,6.13,2016-07-17
9,Alistar,meiko,SUPPORT,,2,2,10,6,35,,,1,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.36,85.7%,,,,,,,,,,,,,,,,,,,,,,,,,Edward Gaming,WIN ,3987,LPL Summer 2016,6.13,2016-07-17
0,Irelia,Zz1tai,TOP,,1,2,2,1.5,256,,,7.4,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.09,42.9%,,,,,,,,,,,,,,,,,,,,,,,,,Invictus Gaming,LOSS,3983,LPL Summer 2016,6.13,2016-07-16
1,Graves,Kid,JUNGLE,,2,2,3,2.5,164,,,4.8,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.14,71.4%,,,,,,,,,,,,,,,,,,,,,,,,,Invictus Gaming,LOSS,3983,LPL Summer 2016,6.13,2016-07-16
2,Malzahar,RooKie,MID,,3,1,2,5,333,,,9.7,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.14,71.4%,,,,,,,,,,,,,,,,,,,,,,,,,Invictus Gaming,LOSS,3983,LPL Summer 2016,6.13,2016-07-16
3,Ezreal,Marge,ADC,,1,3,4,1.7,260,,,7.5,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.14,71.4%,,,,,,,,,,,,,,,,,,,,,,,,,Invictus Gaming,LOSS,3983,LPL Summer 2016,6.13,2016-07-16
4,Braum,Ben,SUPPORT,,0,4,4,1,58,,,1.7,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.12,57.1%,,,,,,,,,,,,,,,,,,,,,,,,,Invictus Gaming,LOSS,3983,LPL Summer 2016,6.13,2016-07-16
5,Gnar,MaRin,TOP,,5,1,3,8,281,,,8.1,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.23,66.7%,,,,,,,,,,,,,,,,,,,,,,,,,LGD Gaming,WIN ,3983,LPL Summer 2016,6.13,2016-07-16
6,Gragas,Eimy,JUNGLE,,0,1,5,5,138,,,4,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.14,41.7%,,,,,,,,,,,,,,,,,,,,,,,,,LGD Gaming,WIN ,3983,LPL Summer 2016,6.13,2016-07-16
7,Viktor,Punished,MID,,5,3,3,2.7,345,,,10,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.23,66.7%,,,,,,,,,,,,,,,,,,,,,,,,,LGD Gaming,WIN ,3983,LPL Summer 2016,6.13,2016-07-16
8,Jhin,imp,ADC,,1,0,8,Perfect KDA,279,,,8.1,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.26,75%,,,,,,,,,,,,,,,,,,,,,,,,,LGD Gaming,WIN ,3983,LPL Summer 2016,6.13,2016-07-16
9,Thresh,Pyl,SUPPORT,,1,2,6,3.5,38,,,1.1,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.2,58.3%,,,,,,,,,,,,,,,,,,,,,,,,,LGD Gaming,WIN ,3983,LPL Summer 2016,6.13,2016-07-16
0,Rumble,MaRin,TOP,,11,3,3,4.7,255,,,7.1,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.39,77.8%,,,,,,,,,,,,,,,,,,,,,,,,,LGD Gaming,WIN,3984,LPL Summer 2016,6.13,2016-07-16
1,Rek,Eimy,JUNGLE,,0,0,13,Perfect KDA,159,,,4.4,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.36,72.2%,,,,,,,,,,,,,,,,,,,,,,,,,LGD Gaming,WIN,3984,LPL Summer 2016,6.13,2016-07-16
2,Ryze,Punished,MID,,4,2,8,6,289,,,8.1,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.34,66.7%,,,,,,,,,,,,,,,,,,,,,,,,,LGD Gaming,WIN,3984,LPL Summer 2016,6.13,2016-07-16
3,Twitch,imp,ADC,,3,2,7,5,307,,,8.6,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.28,55.6%,,,,,,,,,,,,,,,,,,,,,,,,,LGD Gaming,WIN,3984,LPL Summer 2016,6.13,2016-07-16
4,Thresh,Pyl,SUPPORT,,0,3,8,2.7,39,,,1.1,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.22,44.4%,,,,,,,,,,,,,,,,,,,,,,,,,LGD Gaming,WIN,3984,LPL Summer 2016,6.13,2016-07-16
5,Irelia,Zz1tai,TOP,,6,3,1,2.3,254,,,7.1,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.2,70%,,,,,,,,,,,,,,,,,,,,,,,,,Invictus Gaming,LOSS ,3984,LPL Summer 2016,6.13,2016-07-16
6,Gragas,Kid,JUNGLE,,1,2,5,3,124,,,3.5,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.17,60%,,,,,,,,,,,,,,,,,,,,,,,,,Invictus Gaming,LOSS ,3984,LPL Summer 2016,6.13,2016-07-16
7,Viktor,RooKie,MID,,2,4,3,1.3,351,,,9.8,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.14,50%,,,,,,,,,,,,,,,,,,,,,,,,,Invictus Gaming,LOSS ,3984,LPL Summer 2016,6.13,2016-07-16
8,Ezreal,Marge,ADC,,1,5,4,1,234,,,6.5,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.14,50%,,,,,,,,,,,,,,,,,,,,,,,,,Invictus Gaming,LOSS ,3984,LPL Summer 2016,6.13,2016-07-16
9,Braum,Ben,SUPPORT,,0,4,5,1.3,48,,,1.3,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.14,50%,,,,,,,,,,,,,,,,,,,,,,,,,Invictus Gaming,LOSS ,3984,LPL Summer 2016,6.13,2016-07-16
0,Gangplank,GimGoon,TOP,,3,3,5,2.7,316,,,7.9,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.2,61.5%,,,,,,,,,,,,,,,,,,,,,,,,,Game Talents,LOSS,3980,LPL Summer 2016,6.13,2016-07-16
1,Hecarim,WuShuang,JUNGLE,,2,5,5,1.4,162,,,4,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.17,53.8%,,,,,,,,,,,,,,,,,,,,,,,,,Game Talents,LOSS,3980,LPL Summer 2016,6.13,2016-07-16
2,Vladimir,Republic,MID,,4,5,6,2,325,,,8.1,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.25,76.9%,,,,,,,,,,,,,,,,,,,,,,,,,Game Talents,LOSS,3980,LPL Summer 2016,6.13,2016-07-16
3,Ashe,PentaQ,ADC,,3,5,5,1.6,306,,,7.6,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.2,61.5%,,,,,,,,,,,,,,,,,,,,,,,,,Game Talents,LOSS,3980,LPL Summer 2016,6.13,2016-07-16
4,Trundle,Savoki,SUPPORT,,1,6,8,1.5,93,,,2.3,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.22,69.2%,,,,,,,,,,,,,,,,,,,,,,,,,Game Talents,LOSS,3980,LPL Summer 2016,6.13,2016-07-16
5,Maokai,Xiyang,TOP,,4,0,12,Perfect KDA,309,,,7.7,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.4,66.7%,,,,,,,,,,,,,,,,,,,,,,,,,OMG,WIN ,3980,LPL Summer 2016,6.13,2016-07-16
6,Gragas,juejue,JUNGLE,,1,4,16,4.3,174,,,4.3,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.42,70.8%,,,,,,,,,,,,,,,,,,,,,,,,,OMG,WIN ,3980,LPL Summer 2016,6.13,2016-07-16
7,LeBlanc,icon,MID,,10,4,5,3.8,296,,,7.4,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.37,62.5%,,,,,,,,,,,,,,,,,,,,,,,,,OMG,WIN ,3980,LPL Summer 2016,6.13,2016-07-16
8,Sivir,SmLz,ADC,,8,2,10,9,400,,,10,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.45,75%,,,,,,,,,,,,,,,,,,,,,,,,,OMG,WIN ,3980,LPL Summer 2016,6.13,2016-07-16
9,Braum,Five,SUPPORT,,1,3,17,6,64,,,1.6,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.45,75%,,,,,,,,,,,,,,,,,,,,,,,,,OMG,WIN ,3980,LPL Summer 2016,6.13,2016-07-16
0,Shen,Xiyang,TOP,,4,0,12,Perfect KDA,213,,,7.8,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.58,84.2%,,,,,,,,,,,,,,,,,,,,,,,,,OMG,WIN,3981,LPL Summer 2016,6.13,2016-07-16
1,Gragas,juejue,JUNGLE,,2,1,11,13,127,,,4.6,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.47,68.4%,,,,,,,,,,,,,,,,,,,,,,,,,OMG,WIN,3981,LPL Summer 2016,6.13,2016-07-16
2,Azir,icon,MID,,7,1,4,11,256,,,9.3,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.4,57.9%,,,,,,,,,,,,,,,,,,,,,,,,,OMG,WIN,3981,LPL Summer 2016,6.13,2016-07-16
3,Ashe,SmLz,ADC,,6,2,8,7,232,,,8.4,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.51,73.7%,,,,,,,,,,,,,,,,,,,,,,,,,OMG,WIN,3981,LPL Summer 2016,6.13,2016-07-16
4,Braum,Five,SUPPORT,,0,1,14,14,34,,,1.2,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.51,73.7%,,,,,,,,,,,,,,,,,,,,,,,,,OMG,WIN,3981,LPL Summer 2016,6.13,2016-07-16
5,Hecarim,GimGoon,TOP,,2,3,1,1,207,,,7.5,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.11,60%,,,,,,,,,,,,,,,,,,,,,,,,,Game Talents,LOSS ,3981,LPL Summer 2016,6.13,2016-07-16
6,Rek,WuShuang,JUNGLE,,0,4,2,0.5,107,,,3.9,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.07,40%,,,,,,,,,,,,,,,,,,,,,,,,,Game Talents,LOSS ,3981,LPL Summer 2016,6.13,2016-07-16
7,Kassadin,Republic,MID,,3,5,1,0.8,196,,,7.1,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.15,80%,,,,,,,,,,,,,,,,,,,,,,,,,Game Talents,LOSS ,3981,LPL Summer 2016,6.13,2016-07-16
8,Jhin,PentaQ,ADC,,0,2,2,1,220,,,8,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.07,40%,,,,,,,,,,,,,,,,,,,,,,,,,Game Talents,LOSS ,3981,LPL Summer 2016,6.13,2016-07-16
9,Tahm Kench,Savoki,SUPPORT,,0,5,3,0.6,49,,,1.8,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.11,60%,,,,,,,,,,,,,,,,,,,,,,,,,Game Talents,LOSS ,3981,LPL Summer 2016,6.13,2016-07-16
0,Rumble,Acorn,TOP,,3,6,5,1.3,202,,,6.3,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.25,72.7%,,,,,,,,,,,,,,,,,,,,,,,,,Saint Gaming,LOSS,3977,LPL Summer 2016,6.13,2016-07-16
1,Graves,march,JUNGLE,,2,6,6,1.3,131,,,4.1,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.25,72.7%,,,,,,,,,,,,,,,,,,,,,,,,,Saint Gaming,LOSS,3977,LPL Summer 2016,6.13,2016-07-16
2,Malzahar,Snoopy,MID,,2,4,6,2,242,,,7.6,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.25,72.7%,,,,,,,,,,,,,,,,,,,,,,,,,Saint Gaming,LOSS,3977,LPL Summer 2016,6.13,2016-07-16
3,Ezreal,Styz,ADC,,4,5,4,1.6,233,,,7.3,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.25,72.7%,,,,,,,,,,,,,,,,,,,,,,,,,Saint Gaming,LOSS,3977,LPL Summer 2016,6.13,2016-07-16
4,Karma,Maidong,SUPPORT,,0,5,5,1,17,,,0.5,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.16,45.5%,,,,,,,,,,,,,,,,,,,,,,,,,Saint Gaming,LOSS,3977,LPL Summer 2016,6.13,2016-07-16
5,Shen,Looper,TOP,,5,0,9,Perfect KDA,241,,,7.6,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.44,53.8%,,,,,,,,,,,,,,,,,,,,,,,,,Royal Never Give Up,WIN ,3977,LPL Summer 2016,6.13,2016-07-16
6,Hecarim,Mlxg,JUNGLE,,9,5,6,3,161,,,5.1,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.47,57.7%,,,,,,,,,,,,,,,,,,,,,,,,,Royal Never Give Up,WIN ,3977,LPL Summer 2016,6.13,2016-07-16
7,Viktor,xiaohu,MID,,6,1,6,12,282,,,8.9,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.38,46.2%,,,,,,,,,,,,,,,,,,,,,,,,,Royal Never Give Up,WIN ,3977,LPL Summer 2016,6.13,2016-07-16
8,Ashe,Uzi,ADC,,6,2,8,7,313,,,9.8,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.44,53.8%,,,,,,,,,,,,,,,,,,,,,,,,,Royal Never Give Up,WIN ,3977,LPL Summer 2016,6.13,2016-07-16
9,Alistar,Mata,SUPPORT,,0,3,15,5,33,,,1,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.47,57.7%,,,,,,,,,,,,,,,,,,,,,,,,,Royal Never Give Up,WIN ,3977,LPL Summer 2016,6.13,2016-07-16
0,Rumble,Looper,TOP,,9,6,8,2.8,193,,,5.8,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.51,60.7%,,,,,,,,,,,,,,,,,,,,,,,,,Royal Never Give Up,WIN,3978,LPL Summer 2016,6.13,2016-07-16
1,Rek,Mlxg,JUNGLE,,5,0,19,Perfect KDA,185,,,5.6,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.72,85.7%,,,,,,,,,,,,,,,,,,,,,,,,,Royal Never Give Up,WIN,3978,LPL Summer 2016,6.13,2016-07-16
2,Malzahar,xiaohu,MID,,5,2,12,8.5,239,,,7.2,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.51,60.7%,,,,,,,,,,,,,,,,,,,,,,,,,Royal Never Give Up,WIN,3978,LPL Summer 2016,6.13,2016-07-16
