,hero,Player,Role,Level,Kills,Deaths,Assists,KDA,CS,CS in Team's Jungle,CS in Enemy Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,Shutdown bounty collected,Shutdown bounty lost,TEAM,WIN_LOSE,game_ID,Tournamets,Patch,Date
6,Rek,Move,JUNGLE,,0,2,15,7.5,126,65,32,4.1,11351,370,18.1%,,29,20,9,,,0.94,0.29,0.65,,9451,4291,4938,222,308,11.6%,0.49,78.9%,,0,0,0,0,68,-1,127,0,,,,,,,,,,,,,,,,Unicorns Of Love,WIN ,5279,IEM Oakland 2016,6.21,2016-11-21
7,Cassiopeia,Exile,MID,,6,1,9,15,291,16,10,9.5,14735,480,23.5%,,14,1,3,,,0.46,0.1,0.03,,20412,416,19996,0,665,25.1%,0.49,78.9%,1,0,0,0,0,1725,23,924,1,,,,,,,,,,,,,,,,Unicorns Of Love,WIN ,5279,IEM Oakland 2016,6.21,2016-11-21
8,Jhin,Veritas,ADC,,7,0,8,Perfect KDA,276,14,6,9,14086,459,22.5%,,13,2,4,,,0.42,0.13,0.07,,24224,20912,3038,274,789,29.8%,0.49,78.9%,,2,0,0,0,547,10,903,1,,,,,,,,,,,,,,,,Unicorns Of Love,WIN ,5279,IEM Oakland 2016,6.21,2016-11-21
9,Bard,Hylissang,SUPPORT,,1,2,10,5.5,20,0,0,0.7,8632,281,13.8%,,34,17,8,,,1.11,0.26,0.55,,7671,1777,5894,0,250,9.4%,0.36,57.9%,,0,0,0,0,397,-12,-215,-1,,,,,,,,,,,,,,,,Unicorns Of Love,WIN ,5279,IEM Oakland 2016,6.21,2016-11-21
0,Poppy,Vizicsacsi,TOP,,6,4,8,3.5,286,0,4,8.2,14295,411,22.9%,,21,3,5,,,0.6,0.14,0.09,,23550,16543,6617,390,677,30.3%,0.4,73.7%,2,0,0,0,0,-136,-7,-1286,-1,,,,,,,,,,,,,,,,Unicorns Of Love,WIN,5280,IEM Oakland 2016,6.21,2016-11-21
1,Rek,Move,JUNGLE,,1,2,10,5.5,142,60,37,4.1,11260,324,18.1%,,24,23,6,,,0.69,0.17,0.66,,7203,3262,3941,0,207,9.3%,0.32,57.9%,,0,0,0,0,-1821,-25,-2067,-2,,,,,,,,,,,,,,,,Unicorns Of Love,WIN,5280,IEM Oakland 2016,6.21,2016-11-21
2,Orianna,Exile,MID,,10,2,5,7.5,315,8,11,9.1,15831,455,25.4%,,13,3,4,,,0.37,0.12,0.09,,24159,718,23266,175,695,31.1%,0.43,78.9%,,2,0,0,0,-425,0,-283,0,,,,,,,,,,,,,,,,Unicorns Of Love,WIN,5280,IEM Oakland 2016,6.21,2016-11-21
3,Ashe,Veritas,ADC,,1,1,9,10,270,11,7,7.8,12096,348,19.4%,,10,4,0,,,0.29,0,0.12,,16845,14117,2128,600,484,21.7%,0.29,52.6%,,0,0,0,0,492,38,1224,1,,,,,,,,,,,,,,,,Unicorns Of Love,WIN,5280,IEM Oakland 2016,6.21,2016-11-21
4,Thresh,Hylissang,SUPPORT,,1,2,12,6.5,18,0,0,0.5,8866,255,14.2%,,38,12,8,,,1.09,0.23,0.35,,5854,644,4646,564,168,7.5%,0.37,68.4%,,0,0,0,0,-82,1,-186,0,,,,,,,,,,,,,,,,Unicorns Of Love,WIN,5280,IEM Oakland 2016,6.21,2016-11-21
5,Gnar,MMD,TOP,,3,4,3,1.5,267,0,0,7.7,11660,335,20.7%,,13,3,4,,,0.37,0.12,0.09,,12264,10018,2246,0,353,16.6%,0.17,54.5%,,0,0,0,0,136,7,1286,1,,,,,,,,,,,,,,,,Flash Wolves,LOSS ,5280,IEM Oakland 2016,6.21,2016-11-21
6,Nidalee,Karsa,JUNGLE,,4,1,6,10,209,103,20,6,14084,405,25%,,32,22,9,,,0.92,0.26,0.63,,19598,1323,18011,264,563,26.5%,0.29,90.9%,,0,0,0,0,1821,25,2067,2,,,,,,,,,,,,,,,,Flash Wolves,LOSS ,5280,IEM Oakland 2016,6.21,2016-11-21
7,VelKoz,Maple,MID,,3,5,6,1.8,254,3,1,7.3,11600,333,20.6%,,20,6,6,,,0.58,0.17,0.17,,18482,251,13685,4546,531,25%,0.26,81.8%,1,0,0,0,0,425,0,283,0,,,,,,,,,,,,,,,,Flash Wolves,LOSS ,5280,IEM Oakland 2016,6.21,2016-11-21
8,Jhin,DoubleRed,ADC,,1,5,3,0.8,213,2,0,6.1,10527,303,18.7%,,12,1,3,,,0.35,0.09,0.03,,13278,11835,1443,0,382,17.9%,0.12,36.4%,,0,0,0,0,-492,-38,-1224,-1,,,,,,,,,,,,,,,,Flash Wolves,LOSS ,5280,IEM Oakland 2016,6.21,2016-11-21
9,Zyra,SwordArt,SUPPORT,,0,4,8,2,19,0,0,0.5,8566,246,15.2%,,37,7,15,,,1.06,0.43,0.2,,10431,829,9602,0,300,14.1%,0.23,72.7%,,0,0,0,0,82,-1,186,0,,,,,,,,,,,,,,,,Flash Wolves,LOSS ,5280,IEM Oakland 2016,6.21,2016-11-21
0,Maokai,MMD,TOP,,6,1,10,16,174,0,3,7.1,11239,461,20.1%,,10,5,2,,,0.41,0.08,0.2,,13749,2832,10357,560,563,21.4%,0.66,59.3%,,0,0,0,0,520,-37,-83,-1,,,,,,,,,,,,,,,,Flash Wolves,WIN,5281,IEM Oakland 2016,6.21,2016-11-21
1,Lee Sin,Karsa,JUNGLE,,10,1,8,18,94,48,20,3.9,12303,504,22%,,21,3,6,,,0.86,0.25,0.12,,13119,11543,1300,276,538,20.4%,0.74,66.7%,1,2,0,0,0,1498,-11,854,1,,,,,,,,,,,,,,,,Flash Wolves,WIN,5281,IEM Oakland 2016,6.21,2016-11-21
2,Orianna,Maple,MID,,7,0,8,Perfect KDA,233,4,0,9.5,12475,511,22.4%,,13,4,2,,,0.53,0.08,0.16,,18291,1247,17044,0,750,28.5%,0.61,55.6%,2,0,0,0,0,1640,19,395,0,,,,,,,,,,,,,,,,Flash Wolves,WIN,5281,IEM Oakland 2016,6.21,2016-11-21
3,Ashe,DoubleRed,ADC,,2,1,11,13,184,7,0,7.5,10899,447,19.5%,,8,1,2,,,0.33,0.08,0.04,,10238,8985,1029,224,420,15.9%,0.53,48.1%,,0,0,0,0,1281,9,1890,2,,,,,,,,,,,,,,,,Flash Wolves,WIN,5281,IEM Oakland 2016,6.21,2016-11-21
4,Zyra,SwordArt,SUPPORT,,2,2,14,8,14,0,0,0.6,8887,364,15.9%,,31,3,6,,,1.27,0.25,0.12,,8870,1180,7690,0,364,13.8%,0.66,59.3%,,0,0,0,0,1121,-10,-602,0,,,,,,,,,,,,,,,,Flash Wolves,WIN,5281,IEM Oakland 2016,6.21,2016-11-21
5,Kennen,Vizicsacsi,TOP,,0,6,4,0.7,216,2,0,8.9,7968,327,22%,,13,6,5,,,0.53,0.2,0.25,,10954,2154,8800,0,449,28.3%,0.16,80%,,0,0,0,0,-520,37,83,1,,,,,,,,,,,,,,,,Unicorns Of Love,LOSS ,5281,IEM Oakland 2016,6.21,2016-11-21
6,Olaf,Move,JUNGLE,,1,2,3,2,107,61,14,4.4,7292,299,20.2%,,14,6,6,,,0.57,0.25,0.25,,8206,6770,284,1152,336,21.2%,0.16,80%,,0,0,0,0,-1498,11,-854,-1,,,,,,,,,,,,,,,,Unicorns Of Love,LOSS ,5281,IEM Oakland 2016,6.21,2016-11-21
7,Viktor,Exile,MID,,2,7,0,0.3,201,15,0,8.2,8119,333,22.5%,,8,2,1,,,0.33,0.04,0.08,,8379,344,8035,0,343,21.6%,0.08,40%,,0,0,0,0,-1640,-19,-395,0,,,,,,,,,,,,,,,,Unicorns Of Love,LOSS ,5281,IEM Oakland 2016,6.21,2016-11-21
8,Jhin,Veritas,ADC,,1,7,2,0.4,165,0,1,6.8,7246,297,20%,,8,2,0,,,0.33,0,0.08,,6011,5345,666,0,246,15.5%,0.12,60%,,0,0,0,0,-1281,-9,-1890,-2,,,,,,,,,,,,,,,,Unicorns Of Love,LOSS ,5281,IEM Oakland 2016,6.21,2016-11-21
9,Karma,Hylissang,SUPPORT,,1,5,2,0.6,21,0,0,0.9,5518,226,15.3%,,21,9,4,,,0.86,0.16,0.37,,5157,994,4163,0,211,13.3%,0.12,60%,,0,0,0,0,-1121,10,602,0,,,,,,,,,,,,,,,,Unicorns Of Love,LOSS ,5281,IEM Oakland 2016,6.21,2016-11-21
0,Poppy,Vizicsacsi,TOP,,2,1,12,14,227,0,0,8.3,11398,416,21.7%,,14,5,2,,,0.51,0.07,0.18,,12195,8778,3417,0,445,20.1%,0.51,77.8%,,1,0,0,0,543,17,765,1,,,,,,,,,,,,,,,,Unicorns Of Love,WIN,5282,IEM Oakland 2016,6.21,2016-11-21
1,Rek,Move,JUNGLE,,0,5,10,2,87,62,10,3.2,9284,339,17.7%,,21,11,5,,,0.77,0.18,0.4,,6785,3048,3737,0,248,11.2%,0.37,55.6%,,0,0,0,0,-653,-2,-661,-1,,,,,,,,,,,,,,,,Unicorns Of Love,WIN,5282,IEM Oakland 2016,6.21,2016-11-21
2,Cassiopeia,Exile,MID,,5,3,8,4.3,214,1,1,7.8,11384,416,21.7%,,11,1,3,,,0.4,0.11,0.04,,14535,209,14326,0,531,23.9%,0.47,72.2%,,2,0,0,0,-332,11,9,0,,,,,,,,,,,,,,,,Unicorns Of Love,WIN,5282,IEM Oakland 2016,6.21,2016-11-21
3,Kalista,Veritas,ADC,,11,2,5,8,186,17,1,6.8,12718,464,24.2%,,10,5,1,,,0.37,0.04,0.18,,21352,19261,751,1340,780,35.2%,0.58,88.9%,,2,0,0,0,1840,29,693,1,,,,,,,,,,,,,,,,Unicorns Of Love,WIN,5282,IEM Oakland 2016,6.21,2016-11-21
4,Thresh,Hylissang,SUPPORT,,0,4,17,4.3,26,0,1,0.9,7664,280,14.6%,,23,5,5,,,0.84,0.18,0.18,,5824,1074,4750,0,213,9.6%,0.62,94.4%,,0,0,0,0,516,-1,790,1,,,,,,,,,,,,,,,,Unicorns Of Love,WIN,5282,IEM Oakland 2016,6.21,2016-11-21
