,hero,Player,Role,Level,Kills,Deaths,Assists,KDA,CS,CS in Team's Jungle,CS in Enemy Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,Shutdown bounty collected,Shutdown bounty lost,TEAM,WIN_LOSE,game_ID
9,Taric,CoreJJ,SUPPORT,,0,1,1,1,29,0,0,1.1,5872,214,14.2%,,26,1,12,,,0.95,0.44,0.04,,1111,282,829,0,40,3.4%,0.04,100%,,0,0,0,0,-376,20,199,0,,,,,,,,,,,,,,,,Samsung Galaxy,LOSS ,9071
0,Shen,LetMe,TOP,,2,0,9,Perfect KDA,355,2,3,9.2,17146,443,21.5%,,22,5,6,,,0.57,0.16,0.13,,14773,8183,4964,1626,382,16%,0.28,61.1%,,0,0,0,0,-345,-16,-441,0,,,,,,,,,,,,,,,,Royal Never Give Up,WIN,9066
1,Sejuani,Mlxg,JUNGLE,,5,2,7,6,181,52,17,4.7,14647,378,18.3%,,41,27,14,,,1.06,0.36,0.7,,17932,9231,6583,2118,463,19.4%,0.31,66.7%,,0,0,0,0,1115,23,587,1,,,,,,,,,,,,,,,,Royal Never Give Up,WIN,9066
2,Malzahar,xiaohu,MID,,4,3,7,3.7,349,5,6,9,16940,438,21.2%,,11,12,9,,,0.28,0.23,0.31,,23233,948,21897,388,600,25.1%,0.28,61.1%,,1,0,0,0,-426,-4,-268,0,,,,,,,,,,,,,,,,Royal Never Give Up,WIN,9066
3,Twitch,Uzi,ADC,,6,2,5,5.5,353,18,1,9.1,17419,450,21.8%,,16,11,3,,,0.41,0.08,0.28,,32967,24846,1975,6146,851,35.6%,0.28,61.1%,,1,0,0,0,607,4,52,1,,,,,,,,,,,,,,,,Royal Never Give Up,WIN,9066
4,Janna,Ming,SUPPORT,,1,0,13,Perfect KDA,26,0,0,0.7,13775,356,17.2%,,48,19,16,,,1.24,0.41,0.49,,3706,452,1471,1783,96,4%,0.36,77.8%,,0,0,0,0,595,0,752,1,,,,,,,,,,,,,,,,Royal Never Give Up,WIN,9066
5,Gangplank,Huni,TOP,,2,4,4,1.5,373,6,2,9.6,17588,454,27.1%,,8,6,1,,,0.21,0.03,0.16,,26926,15712,8011,3203,695,42.6%,0.16,85.7%,,0,0,0,0,345,16,441,0,,,,,,,,,,,,,,,,SK Telecom T1,LOSS ,9066
6,Zac,blank,JUNGLE,,0,3,4,1.3,122,75,6,3.2,10262,265,15.8%,,49,11,14,,,1.27,0.36,0.28,,7696,309,6863,524,199,12.2%,0.1,57.1%,,0,0,0,0,-1115,-23,-587,-1,,,,,,,,,,,,,,,,SK Telecom T1,LOSS ,9066
7,Galio,Faker,MID,,2,3,4,2,354,12,0,9.1,13994,361,21.5%,,21,5,6,,,0.54,0.16,0.13,,9336,161,9175,0,241,14.8%,0.16,85.7%,,0,0,0,0,426,4,268,0,,,,,,,,,,,,,,,,SK Telecom T1,LOSS ,9066
8,Tristana,Bang,ADC,,3,3,1,1.3,329,9,3,8.5,14136,365,21.7%,,19,19,4,,,0.49,0.1,0.49,,13651,9489,3554,608,353,21.6%,0.1,57.1%,,0,0,0,0,-607,-4,-52,-1,,,,,,,,,,,,,,,,SK Telecom T1,LOSS ,9066
9,Blitzcrank,Wolf,SUPPORT,,0,5,3,0.6,14,0,0,0.4,9020,233,13.9%,,52,10,13,,,1.34,0.34,0.26,,5538,1226,3739,573,143,8.8%,0.08,42.9%,,0,0,0,0,-595,0,-752,-1,,,,,,,,,,,,,,,,SK Telecom T1,LOSS ,9066
0,Cho,957,TOP,,1,3,10,3.7,337,1,0,6.2,17843,329,17.9%,,26,3,2,,,0.48,0.04,0.06,,15696,2282,10370,3044,290,11.1%,0.2,78.6%,,0,0,0,0,-1498,-15,-911,-1,,,,,,,,,,,,,,,,Team WE,WIN,9061
1,Gragas,Condi,JUNGLE,,1,1,7,8,183,96,9,3.4,16830,311,16.9%,,71,20,18,,,1.31,0.33,0.37,,9601,759,8810,32,177,6.8%,0.15,57.1%,,0,0,0,0,-1731,-28,-503,0,,,,,,,,,,,,,,,,Team WE,WIN,9061
2,Corki,xiye,MID,,6,3,6,4,498,31,5,9.2,24163,446,24.2%,,24,11,8,,,0.44,0.15,0.2,,50464,5536,44618,310,932,35.8%,0.22,85.7%,,1,0,0,0,-491,-1,-819,0,,,,,,,,,,,,,,,,Team WE,WIN,9061
3,Kog,Mystic,ADC,,6,3,7,4.3,471,13,0,8.7,23214,429,23.3%,,18,33,2,,,0.33,0.04,0.61,,61195,28860,28409,3926,1130,43.4%,0.24,92.9%,1,0,0,0,0,-1005,-17,-423,-1,,,,,,,,,,,,,,,,Team WE,WIN,9061
4,Janna,Ben,SUPPORT,,0,1,12,12,52,0,0,1,17722,327,17.8%,,91,12,20,,,1.68,0.37,0.22,,4041,86,2931,1024,75,2.9%,0.22,85.7%,,0,0,0,0,-567,17,-704,0,,,,,,,,,,,,,,,,Team WE,WIN,9061
5,Shen,Impact,TOP,,3,3,5,2.7,445,7,9,8.2,19934,368,20.5%,,33,13,4,,,0.61,0.07,0.24,,24944,14860,9760,324,461,13.4%,0.15,72.7%,,0,0,0,0,1498,15,911,1,,,,,,,,,,,,,,,,Cloud 9,LOSS ,9061
6,Jarvan IV,Contractz,JUNGLE,,1,3,5,2,219,89,24,4,16859,311,17.4%,,46,26,13,,,0.85,0.24,0.48,,13852,10622,2478,752,256,7.5%,0.11,54.5%,,0,0,0,0,1731,28,503,0,,,,,,,,,,,,,,,,Cloud 9,LOSS ,9061
7,Aurelion Sol,Jensen,MID,,3,4,7,2.5,512,17,8,9.5,21958,405,22.6%,,16,11,5,,,0.3,0.09,0.2,,45312,1367,42128,1817,837,24.4%,0.18,90.9%,1,0,0,0,0,491,1,819,0,,,,,,,,,,,,,,,,Cloud 9,LOSS ,9061
8,Caitlyn,Sneaky,ADC,,3,3,4,2.3,515,25,0,9.5,22326,412,23%,,15,33,4,,,0.28,0.07,0.61,,96476,69021,23040,4415,1781,52%,0.13,63.6%,,1,0,0,0,1005,17,423,1,,,,,,,,,,,,,,,,Cloud 9,LOSS ,9061
9,Lulu,Smoothie,SUPPORT,,1,1,7,8,21,0,0,0.4,15939,294,16.4%,,97,17,30,,,1.79,0.55,0.31,,4936,377,3890,669,91,2.7%,0.15,72.7%,,0,0,0,0,567,-17,704,0,,,,,,,,,,,,,,,,Cloud 9,LOSS ,9061
0,Trundle,sOAZ,TOP,,1,2,1,1,350,4,0,8.1,14277,330,19.2%,,23,10,5,,,0.53,0.12,0.23,,15122,8559,6563,0,350,12.5%,0.05,25%,,0,0,0,0,-961,-12,-1594,-1,,,,,,,,,,,,,,,,Fnatic,LOSS,9056
1,Gragas,Broxah,JUNGLE,,0,1,6,6,162,92,4,3.7,11800,273,15.8%,,37,6,7,,,0.86,0.16,0.14,,9710,995,8663,52,224,8%,0.14,75%,,0,0,0,0,-442,6,-681,0,,,,,,,,,,,,,,,,Fnatic,LOSS,9056
2,Taliyah,Caps,MID,,4,4,3,1.8,319,14,0,7.4,14588,337,19.6%,,20,4,7,,,0.46,0.16,0.09,,42536,648,41763,125,983,35.1%,0.16,87.5%,,0,0,0,0,-200,-7,-515,-1,,,,,,,,,,,,,,,,Fnatic,LOSS,9056
3,Sivir,Rekkles,ADC,,3,2,3,3,602,6,0,13.9,21428,495,28.7%,,10,15,0,,,0.23,0,0.35,,48382,43724,4434,224,1118,39.9%,0.14,75%,,0,0,0,0,819,4,-140,-1,,,,,,,,,,,,,,,,Fnatic,LOSS,9056
4,Janna,Jesiz,SUPPORT,,0,1,7,7,6,0,0,0.1,12455,288,16.7%,,58,3,19,,,1.34,0.44,0.07,,5460,1103,3312,1045,126,4.5%,0.16,87.5%,,0,0,0,0,636,-3,1030,1,,,,,,,,,,,,,,,,Fnatic,LOSS,9056
5,Cho,LetMe,TOP,,3,1,5,8,313,0,1,7.2,17153,396,20.2%,,23,3,3,,,0.53,0.07,0.07,,22000,2316,12958,6726,508,20.5%,0.18,80%,,0,0,0,0,961,12,1594,1,,,,,,,,,,,,,,,,Royal Never Give Up,WIN ,9056
6,Sejuani,Mlxg,JUNGLE,,1,1,3,4,169,80,15,3.9,15251,352,17.9%,,42,17,14,,,0.97,0.32,0.39,,11855,6618,5011,226,274,11%,0.09,40%,,0,0,0,0,442,-6,681,0,,,,,,,,,,,,,,,,Royal Never Give Up,WIN ,9056
7,Ryze,xiaohu,MID,,2,1,2,4,403,23,0,9.3,18321,423,21.5%,,10,15,6,,,0.23,0.14,0.35,,24786,725,23641,420,573,23.1%,0.09,40%,1,1,0,0,0,200,7,515,1,,,,,,,,,,,,,,,,Royal Never Give Up,WIN ,9056
8,Tristana,Uzi,ADC,,4,2,2,3,486,24,12,11.2,21332,493,25.1%,,21,20,7,,,0.49,0.16,0.46,,45046,29079,13766,2201,1041,41.9%,0.14,60%,,0,0,0,0,-819,-4,140,1,,,,,,,,,,,,,,,,Royal Never Give Up,WIN ,9056
9,Soraka,Ming,SUPPORT,,0,3,5,1.7,10,0,0,0.2,13059,302,15.3%,,44,7,15,,,1.02,0.35,0.16,,3761,164,3246,351,87,3.5%,0.12,50%,,0,0,0,0,-636,3,-1030,-1,,,,,,,,,,,,,,,,Royal Never Give Up,WIN ,9056
