,hero,Player,Role,Level,Kills,Deaths,Assists,KDA,CS,CS in Team's Jungle,CS in Enemy Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,Shutdown bounty collected,Shutdown bounty lost,TEAM,WIN_LOSE,game_ID
7,Syndra,Caps,MID,,5,1,6,11,415,7,16,9.6,19183,445,21.5%,,22,8,3,,,0.51,0.07,0.19,,35943,1158,32125,2660,833,32.9%,0.25,61.1%,,1,0,0,0,459,2,411,0,,,,,,,,,,,,,,,,Fnatic,WIN ,9044
8,Sivir,Rekkles,ADC,,4,3,3,2.3,475,19,6,11,20505,475,23%,,11,11,1,,,0.25,0.02,0.25,,28213,23731,3284,1198,654,25.8%,0.16,38.9%,,0,0,0,0,1288,39,290,1,,,,,,,,,,,,,,,,Fnatic,WIN ,9044
9,Lulu,Jesiz,SUPPORT,,1,2,13,7,46,0,0,1.1,15679,363,17.6%,,66,5,28,,,1.53,0.65,0.12,,3527,1030,2372,125,82,3.2%,0.32,77.8%,,0,0,0,0,1092,14,651,1,,,,,,,,,,,,,,,,Fnatic,WIN ,9044
0,Cho,sOAZ,TOP,,2,1,4,6,186,0,1,6.7,10542,381,18.6%,,16,5,5,,,0.58,0.18,0.18,,7611,1040,4826,1745,275,18.2%,0.22,75%,,0,0,0,0,317,-19,-136,0,,,,,,,,,,,,,,,,Fnatic,WIN,9043
1,Rek,Broxah,JUNGLE,,2,0,3,Perfect KDA,136,63,14,4.9,10422,376,18.4%,,23,9,5,,,0.83,0.18,0.32,,6798,6259,0,539,245,16.2%,0.18,62.5%,,0,0,0,0,375,28,307,0,,,,,,,,,,,,,,,,Fnatic,WIN,9043
2,Malzahar,Caps,MID,,2,1,4,6,243,4,1,8.8,11931,431,21.1%,,9,3,1,,,0.32,0.04,0.11,,13990,537,13453,0,505,33.4%,0.22,75%,,0,0,0,0,769,-1,147,0,,,,,,,,,,,,,,,,Fnatic,WIN,9043
3,Tristana,Rekkles,ADC,,2,0,3,Perfect KDA,304,9,5,11,13379,483,23.6%,,7,6,1,,,0.25,0.04,0.22,,11144,8860,2088,196,402,26.6%,0.18,62.5%,,1,0,0,0,-175,-7,-275,-1,,,,,,,,,,,,,,,,Fnatic,WIN,9043
4,Janna,Jesiz,SUPPORT,,0,0,5,Perfect KDA,39,0,0,1.4,10341,373,18.3%,,30,5,10,,,1.08,0.36,0.18,,2327,411,1766,150,84,5.6%,0.18,62.5%,,0,0,0,0,88,-3,-58,0,,,,,,,,,,,,,,,,Fnatic,WIN,9043
5,Trundle,Flame,TOP,,0,2,1,0.5,273,11,2,9.9,9926,358,21.6%,,12,1,2,,,0.43,0.07,0.04,,4404,1538,2863,3,159,10.9%,0.04,50%,,0,0,0,0,-317,19,136,0,,,,,,,,,,,,,,,,Immortals,LOSS ,9043
6,Ezreal,Xmithie,JUNGLE,,1,1,1,2,124,66,7,4.5,8532,308,18.6%,,33,8,6,,,1.19,0.22,0.29,,9423,6317,3034,72,340,23.4%,0.07,100%,,0,0,0,0,-375,-28,-307,0,,,,,,,,,,,,,,,,Immortals,LOSS ,9043
7,Ryze,Pobelter,MID,,0,1,0,0,259,5,0,9.4,9765,353,21.3%,,16,2,7,,,0.58,0.25,0.07,,12384,418,11649,317,447,30.8%,0,0%,,0,0,0,0,-769,1,-147,0,,,,,,,,,,,,,,,,Immortals,LOSS ,9043
8,Twitch,Cody Sun,ADC,,1,2,0,0.5,243,0,0,8.8,9748,352,21.2%,,12,5,4,,,0.43,0.14,0.18,,12040,8065,1916,2059,435,29.9%,0.04,50%,,0,0,0,0,175,7,275,1,,,,,,,,,,,,,,,,Immortals,LOSS ,9043
9,Lulu,Olleh,SUPPORT,,0,2,1,0.5,46,0,0,1.7,7973,288,17.4%,,30,4,8,,,1.08,0.29,0.14,,1970,389,1581,0,71,4.9%,0.04,50%,,0,0,0,0,-88,3,58,0,,,,,,,,,,,,,,,,Immortals,LOSS ,9043
0,Cho,Flame,TOP,,6,7,3,1.3,398,17,0,7.8,17952,352,20.3%,,20,4,4,,,0.39,0.08,0.08,,20863,1856,12295,6712,409,18.9%,0.18,90%,,0,0,0,0,382,3,259,0,,,,,,,,,,,,,,,,Immortals,LOSS,9024
1,Sejuani,Xmithie,JUNGLE,,1,3,5,2,191,71,11,3.7,14446,283,16.3%,,51,19,12,,,1,0.24,0.37,,6948,3803,3037,108,136,6.3%,0.12,60%,,0,0,0,0,-422,13,-86,-1,,,,,,,,,,,,,,,,Immortals,LOSS,9024
2,Corki,Pobelter,MID,,1,3,9,3.3,525,23,5,10.3,21195,416,23.9%,,30,25,6,,,0.59,0.12,0.49,,35694,3393,31345,956,700,32.4%,0.2,100%,,0,0,0,0,221,4,193,0,,,,,,,,,,,,,,,,Immortals,LOSS,9024
3,Tristana,Cody Sun,ADC,,1,2,6,3.5,508,19,0,10,20337,399,23%,,17,17,3,,,0.33,0.06,0.33,,39952,24870,14272,810,784,36.2%,0.14,70%,,0,0,0,0,-426,-8,64,0,,,,,,,,,,,,,,,,Immortals,LOSS,9024
4,Lulu,Olleh,SUPPORT,,1,1,7,8,33,0,0,0.6,14642,287,16.5%,,84,19,29,,,1.65,0.57,0.37,,6809,610,3055,3144,134,6.2%,0.16,80%,,0,0,0,0,-614,-15,-550,0,,,,,,,,,,,,,,,,Immortals,LOSS,9024
5,Shen,Rascal,TOP,,2,2,14,8,477,13,9,9.4,21708,426,20.6%,,33,9,6,,,0.65,0.12,0.18,,20098,11131,8424,543,394,13.7%,0.31,100%,,1,0,0,0,-382,-3,-259,0,,,,,,,,,,,,,,,,Longzhu Gaming,WIN ,9024
6,Jarvan IV,Cuzz,JUNGLE,,2,3,13,5,175,65,33,3.4,16616,326,15.8%,,46,28,13,,,0.9,0.26,0.55,,13788,9540,3706,542,270,9.4%,0.29,93.8%,,0,0,0,0,422,-13,86,1,,,,,,,,,,,,,,,,Longzhu Gaming,WIN ,9024
7,Taliyah,Bdd,MID,,2,1,11,13,493,19,6,9.7,21874,429,20.8%,,31,3,4,,,0.61,0.08,0.06,,29525,802,28023,700,579,20.2%,0.26,81.3%,,0,0,0,0,-221,-4,-193,0,,,,,,,,,,,,,,,,Longzhu Gaming,WIN ,9024
8,Varus,PraY,ADC,,10,2,3,6.5,549,23,2,10.8,26584,521,25.3%,,20,36,3,,,0.39,0.06,0.71,,76791,48553,23635,4603,1506,52.5%,0.26,81.3%,,1,1,0,0,426,8,-64,0,,,,,,,,,,,,,,,,Longzhu Gaming,WIN ,9024
9,Janna,GorillA,SUPPORT,,0,2,14,7,60,0,0,1.2,18462,362,17.5%,,79,12,24,,,1.55,0.47,0.24,,6025,658,3349,2018,118,4.1%,0.27,87.5%,,0,0,0,0,614,15,550,0,,,,,,,,,,,,,,,,Longzhu Gaming,WIN ,9024
0,Urgot,Archie,TOP,,1,6,1,0.3,224,1,0,7.4,9282,305,20%,,15,5,3,,,0.49,0.1,0.16,,7961,6590,170,1201,262,18.4%,0.07,66.7%,,0,0,0,0,-459,16,-441,-1,,,,,,,,,,,,,,,,GIGABYTE Marines,LOSS,9023
1,Kayn,Levi,JUNGLE,,0,4,2,0.5,134,47,16,4.4,8549,281,18.4%,,16,2,6,,,0.53,0.2,0.07,,4184,3178,582,424,137,9.7%,0.07,66.7%,,0,0,0,0,-546,10,200,0,,,,,,,,,,,,,,,,GIGABYTE Marines,LOSS,9023
2,Corki,Optimus,MID,,2,3,1,1,238,6,1,7.8,9946,327,21.4%,,17,2,4,,,0.56,0.13,0.07,,17358,1093,16265,0,570,40.2%,0.1,100%,,0,0,0,0,-442,-32,-837,-1,,,,,,,,,,,,,,,,GIGABYTE Marines,LOSS,9023
3,Xayah,Noway,ADC,,0,3,1,0.3,300,15,0,9.9,10584,348,22.8%,,15,3,4,,,0.49,0.13,0.1,,9902,9011,891,0,325,22.9%,0.03,33.3%,,0,0,0,0,-1357,-13,-797,-1,,,,,,,,,,,,,,,,GIGABYTE Marines,LOSS,9023
4,Lulu,Sya,SUPPORT,,0,2,2,1,7,0,0,0.2,8057,265,17.4%,,27,6,6,,,0.89,0.2,0.2,,3807,1027,2780,0,125,8.8%,0.07,66.7%,,0,0,0,0,-1245,-23,-1132,-2,,,,,,,,,,,,,,,,GIGABYTE Marines,LOSS,9023
5,Cho,sOAZ,TOP,,6,0,9,Perfect KDA,199,0,0,6.5,12039,396,18.5%,,15,7,2,,,0.49,0.07,0.23,,10577,1294,6430,2853,348,18.5%,0.49,83.3%,,0,0,0,0,459,-16,441,1,,,,,,,,,,,,,,,,Fnatic,WIN ,9023
6,Rek,Broxah,JUNGLE,,3,1,9,12,156,45,38,5.1,11790,387,18.1%,,26,8,6,,,0.85,0.2,0.26,,7789,6986,43,760,256,13.6%,0.39,66.7%,,0,0,0,0,546,-10,-200,0,,,,,,,,,,,,,,,,Fnatic,WIN ,9023
7,Syndra,Caps,MID,,2,1,8,10,324,19,8,10.6,13810,454,21.2%,,12,3,2,,,0.39,0.07,0.1,,20271,1092,19179,0,666,35.5%,0.33,55.6%,,0,0,0,0,442,32,837,1,,,,,,,,,,,,,,,,Fnatic,WIN ,9023
8,Twitch,Rekkles,ADC,,6,1,5,11,321,6,0,10.5,15769,518,24.3%,,8,9,1,,,0.26,0.03,0.3,,14949,12721,526,1702,491,26.2%,0.36,61.1%,,1,0,0,0,1357,13,797,1,,,,,,,,,,,,,,,,Fnatic,WIN ,9023
9,Rakan,Jesiz,SUPPORT,,1,0,13,Perfect KDA,41,0,0,1.3,11596,381,17.8%,,41,4,16,,,1.35,0.53,0.13,,3518,327,3191,0,116,6.2%,0.46,77.8%,,0,0,0,0,1245,23,1132,2,,,,,,,,,,,,,,,,Fnatic,WIN ,9023
0,Galio,Archie,TOP,,0,5,12,2.4,270,7,0,5.6,16093,335,18.7%,,26,9,5,,,0.54,0.1,0.19,,11952,264,11501,187,249,9.7%,0.25,75%,,0,0,0,0,213,-7,-812,-1,,,,,,,,,,,,,,,,GIGABYTE Marines,LOSS,9022
1,Rengar,Levi,JUNGLE,,6,6,1,1.2,274,106,28,5.7,16574,345,19.2%,,28,8,8,,,0.58,0.17,0.17,,18450,16012,1657,781,384,15%,0.15,43.8%,,1,0,0,0,661,16,331,0,,,,,,,,,,,,,,,,GIGABYTE Marines,LOSS,9022
2,Syndra,Optimus,MID,,3,5,11,2.8,375,19,2,7.8,18220,380,21.1%,,39,10,13,,,0.81,0.27,0.21,,39732,993,35724,3015,828,32.3%,0.29,87.5%,,0,0,0,0,56,-1,-39,0,,,,,,,,,,,,,,,,GIGABYTE Marines,LOSS,9022
3,Xayah,Noway,ADC,,5,3,9,4.7,429,11,7,8.9,20994,437,24.3%,,20,20,9,,,0.42,0.19,0.42,,40675,37869,574,2232,847,33%,0.29,87.5%,,1,0,0,0,-213,-16,1382,1,,,,,,,,,,,,,,,,GIGABYTE Marines,LOSS,9022
4,Zilean,Sya,SUPPORT,,2,5,12,2.8,34,0,0,0.7,14372,299,16.7%,,81,19,26,,,1.69,0.54,0.4,,12384,935,8201,3248,258,10.1%,0.29,87.5%,,0,0,0,0,-303,1,-479,0,,,,,,,,,,,,,,,,GIGABYTE Marines,LOSS,9022
5,Jarvan IV,Khan,TOP,,5,5,15,4,451,15,0,9.4,21345,445,22.1%,,29,7,6,,,0.6,0.13,0.15,,24717,22327,1502,888,515,21.3%,0.42,83.3%,,1,0,0,0,-213,7,812,1,,,,,,,,,,,,,,,,Longzhu Gaming,WIN ,9022
6,Gragas,Cuzz,JUNGLE,,3,3,18,7,176,96,1,3.7,15709,327,16.3%,,49,23,11,,,1.02,0.23,0.48,,15277,1165,12572,1540,318,13.2%,0.44,87.5%,,0,0,0,0,-661,-16,-331,0,,,,,,,,,,,,,,,,Longzhu Gaming,WIN ,9022
7,Ryze,Bdd,MID,,9,2,11,10,432,11,0,9,21306,444,22%,,24,3,5,,,0.5,0.1,0.06,,30963,624,29664,675,645,26.7%,0.42,83.3%,,1,0,0,0,-56,1,39,0,,,,,,,,,,,,,,,,Longzhu Gaming,WIN ,9022
8,Varus,PraY,ADC,,6,1,16,22,448,14,0,9.3,21901,456,22.7%,,20,17,4,,,0.42,0.08,0.35,,37635,24905,10706,2024,784,32.5%,0.46,91.7%,,1,0,0,0,213,16,-1382,-1,,,,,,,,,,,,,,,,Longzhu Gaming,WIN ,9022
9,Rakan,GorillA,SUPPORT,,1,5,22,4.6,29,0,2,0.6,16377,341,16.9%,,76,12,21,,,1.58,0.44,0.25,,7299,1002,4309,1988,152,6.3%,0.48,95.8%,,0,0,0,0,303,-1,479,0,,,,,,,,,,,,,,,,Longzhu Gaming,WIN ,9022
0,Nautilus,sOAZ,TOP,,0,3,3,1,266,2,0,7,12764,338,18%,,20,1,3,,,0.53,0.08,0.03,,9655,1988,7667,0,255,15.2%,0.08,33.3%,,0,0,0,0,124,3,376,0,,,,,,,,,,,,,,,,Fnatic,WIN,9021
1,Rek,Broxah,JUNGLE,,5,2,3,4,183,69,19,4.8,13206,349,18.6%,,30,9,5,,,0.79,0.13,0.24,,8991,8278,125,588,238,14.2%,0.21,88.9%,,0,0,0,0,-140,26,-1164,-2,,,,,,,,,,,,,,,,Fnatic,WIN,9021
2,Cassiopeia,Caps,MID,,1,3,5,2,303,1,1,8,13644,361,19.2%,,24,8,7,,,0.63,0.19,0.21,,18062,873,17189,0,478,28.5%,0.16,66.7%,,0,0,0,0,-76,-3,349,1,,,,,,,,,,,,,,,,Fnatic,WIN,9021
3,Xayah,Rekkles,ADC,,2,1,5,7,442,11,6,11.7,17975,475,25.3%,,10,18,1,,,0.26,0.03,0.48,,23382,23102,178,102,618,36.9%,0.19,77.8%,,0,0,0,0,-1011,-9,-562,0,,,,,,,,,,,,,,,,Fnatic,WIN,9021
4,Janna,Jesiz,SUPPORT,,1,0,7,Perfect KDA,38,0,0,1,13409,355,18.9%,,56,9,19,,,1.48,0.5,0.24,,3229,276,2309,644,85,5.1%,0.21,88.9%,,0,0,0,0,256,14,464,0,,,,,,,,,,,,,,,,Fnatic,WIN,9021
5,Maokai,Flame,TOP,,1,1,8,9,236,2,5,6.2,12220,323,17.8%,,18,1,3,,,0.48,0.08,0.03,,16193,1781,14412,0,428,18.6%,0.24,100%,,0,0,0,0,-124,-3,-376,0,,,,,,,,,,,,,,,,Immortals,LOSS ,9021
6,Ezreal,Xmithie,JUNGLE,,2,2,4,3,171,62,25,4.5,12948,342,18.9%,,39,14,14,,,1.03,0.37,0.37,,18548,11471,6975,102,490,21.3%,0.16,66.7%,,0,0,0,0,140,-26,1164,2,,,,,,,,,,,,,,,,Immortals,LOSS ,9021
7,Orianna,Pobelter,MID,,1,3,8,3,283,14,0,7.5,13508,357,19.7%,,18,7,4,,,0.48,0.11,0.19,,18647,739,17858,50,493,21.4%,0.24,100%,,0,0,0,0,76,3,-349,-1,,,,,,,,,,,,,,,,Immortals,LOSS ,9021
8,Tristana,Cody Sun,ADC,,4,1,2,6,409,20,10,10.8,17948,475,26.2%,,17,11,6,,,0.45,0.16,0.29,,29720,20654,8848,218,786,34.1%,0.16,66.7%,,1,0,0,0,1011,9,562,0,,,,,,,,,,,,,,,,Immortals,LOSS ,9021
9,Lulu,Olleh,SUPPORT,,1,2,8,4.5,25,0,0,0.7,11973,317,17.5%,,55,16,23,,,1.45,0.61,0.42,,4125,762,3013,350,109,4.7%,0.24,100%,,0,0,0,0,-256,-14,-464,0,,,,,,,,,,,,,,,,Immortals,LOSS ,9021
0,Jayce,Khan,TOP,,4,1,3,7,315,20,4,9.9,14397,452,21.9%,,19,1,4,,,0.6,0.13,0.03,,20869,17812,2833,224,655,32.4%,0.22,50%,,0,0,0,0,548,16,329,1,,,,,,,,,,,,,,,,Longzhu Gaming,WIN,9020
1,Sejuani,Cuzz,JUNGLE,,1,2,5,3,97,50,9,3,10669,335,16.2%,,34,13,12,,,1.07,0.38,0.41,,4436,1961,2403,72,139,6.9%,0.19,42.9%,,0,0,0,0,130,-23,-231,0,,,,,,,,,,,,,,,,Longzhu Gaming,WIN,9020
2,Ryze,Bdd,MID,,5,1,5,10,291,3,1,9.1,14427,453,22%,,17,4,3,,,0.53,0.09,0.13,,12860,245,12615,0,404,19.9%,0.31,71.4%,,2,0,0,0,110,1,509,0,,,,,,,,,,,,,,,,Longzhu Gaming,WIN,9020
3,Kog,PraY,ADC,,3,2,7,5,276,18,2,8.7,14376,451,21.9%,,12,4,0,,,0.38,0,0.13,,21720,5756,14921,1043,682,33.7%,0.31,71.4%,,1,0,0,0,625,-5,160,1,,,,,,,,,,,,,,,,Longzhu Gaming,WIN,9020
4,Lulu,GorillA,SUPPORT,,1,1,10,11,57,0,0,1.8,11847,372,18%,,35,9,10,,,1.1,0.31,0.28,,4598,939,2763,896,144,7.1%,0.35,78.6%,,0,0,0,0,226,3,686,1,,,,,,,,,,,,,,,,Longzhu Gaming,WIN,9020
5,Renekton,sOAZ,TOP,,2,3,2,1.3,256,0,0,8,10720,336,20.1%,,17,6,3,,,0.53,0.09,0.19,,6940,6453,487,0,218,17%,0.13,57.1%,,1,0,0,0,-548,-16,-329,-1,,,,,,,,,,,,,,,,Fnatic,LOSS ,9020
6,Rek,Broxah,JUNGLE,,1,4,5,1.5,147,78,8,4.6,9362,294,17.6%,,28,11,5,,,0.88,0.16,0.35,,4933,4292,417,224,155,12.1%,0.19,85.7%,,0,0,0,0,-130,23,231,0,,,,,,,,,,,,,,,,Fnatic,LOSS ,9020
7,Syndra,Caps,MID,,3,1,3,6,271,5,0,8.5,11710,367,22%,,14,3,4,,,0.44,0.13,0.09,,16976,978,15998,0,533,41.7%,0.19,85.7%,,0,0,0,0,-110,-1,-509,0,,,,,,,,,,,,,,,,Fnatic,LOSS ,9020
8,Twitch,Rekkles,ADC,,1,2,4,2.5,294,11,1,9.2,12081,379,22.7%,,8,12,1,,,0.25,0.03,0.38,,9670,7407,418,1845,303,23.7%,0.16,71.4%,,0,0,0,0,-625,5,-160,-1,,,,,,,,,,,,,,,,Fnatic,LOSS ,9020
9,Sona,Jesiz,SUPPORT,,0,4,5,1.3,38,0,0,1.2,9377,294,17.6%,,34,3,10,,,1.07,0.31,0.09,,2231,631,1600,0,70,5.5%,0.16,71.4%,,0,0,0,0,-226,-3,-686,-1,,,,,,,,,,,,,,,,Fnatic,LOSS ,9020
0,Shen,Flame,TOP,,1,4,3,1,283,8,0,8.8,10948,342,20.1%,,13,5,2,,,0.41,0.06,0.16,,13808,7850,5958,0,432,26.4%,0.13,57.1%,,0,0,0,0,-238,0,-163,0,,,,,,,,,,,,,,,,Immortals,LOSS,9019
1,Gragas,Xmithie,JUNGLE,,1,2,5,3,100,47,8,3.1,8932,279,16.4%,,40,9,14,,,1.25,0.44,0.28,,6472,1128,5038,306,202,12.4%,0.19,85.7%,,0,0,0,0,-919,-28,-149,0,,,,,,,,,,,,,,,,Immortals,LOSS,9019
2,Ryze,Pobelter,MID,,1,5,2,0.6,256,5,0,8,10552,330,19.3%,,18,4,5,,,0.56,0.16,0.13,,12138,622,11516,0,379,23.2%,0.09,42.9%,,0,0,0,0,-1056,-50,-1779,-1,,,,,,,,,,,,,,,,Immortals,LOSS,9019
3,Kog,Cody Sun,ADC,,3,2,0,1.5,355,4,0,11.1,13577,424,24.9%,,10,5,2,,,0.31,0.06,0.16,,17899,7141,10045,713,559,34.2%,0.09,42.9%,,0,0,0,0,-766,-25,-186,0,,,,,,,,,,,,,,,,Immortals,LOSS,9019
4,Janna,Olleh,SUPPORT,,1,2,3,2,47,0,0,1.5,10559,330,19.4%,,32,7,12,,,1,0.38,0.22,,2067,288,1602,177,65,3.9%,0.13,57.1%,,0,0,0,0,88,21,-280,0,,,,,,,,,,,,,,,,Immortals,LOSS,9019
5,Urgot,Archie,TOP,,3,2,3,3,284,7,3,8.9,13725,429,20.5%,,17,5,4,,,0.53,0.13,0.16,,18684,15744,0,2940,584,23.3%,0.19,40%,2,0,0,0,0,238,0,163,0,,,,,,,,,,,,,,,,GIGABYTE Marines,WIN ,9019
6,Kayn,Levi,JUNGLE,,5,2,2,3.5,222,79,26,6.9,13110,410,19.5%,,19,9,7,,,0.59,0.22,0.28,,16103,11774,3339,990,503,20.1%,0.22,46.7%,,0,0,0,0,919,28,149,0,,,,,,,,,,,,,,,,GIGABYTE Marines,WIN ,9019
7,Syndra,Optimus,MID,,2,1,8,10,327,3,5,10.2,14603,456,21.8%,,20,10,5,,,0.63,0.16,0.31,,26079,889,24161,1029,815,32.6%,0.31,66.7%,1,1,0,0,0,1056,50,1779,1,,,,,,,,,,,,,,,,GIGABYTE Marines,WIN ,9019
8,Ashe,Noway,ADC,,5,0,3,Perfect KDA,308,7,3,9.6,15043,470,22.4%,,14,8,5,,,0.44,0.16,0.25,,17028,14032,2308,688,532,21.3%,0.25,53.3%,2,1,1,0,0,766,25,186,0,,,,,,,,,,,,,,,,GIGABYTE Marines,WIN ,9019
9,Lulu,Sya,SUPPORT,,0,2,3,1.5,16,0,2,0.5,10605,331,15.8%,,26,12,6,,,0.81,0.19,0.38,,2172,135,1807,230,68,2.7%,0.09,20%,,0,0,0,0,-88,-21,280,0,,,,,,,,,,,,,,,,GIGABYTE Marines,WIN ,9019
0,Maokai,LetMe,TOP,,1,2,11,6,319,2,0,7.2,14791,335,18%,,23,7,5,,,0.52,0.11,0.16,,15486,613,14780,93,351,19.3%,0.27,92.3%,1,0,0,0,0,16,-2,770,0,,,,,,,,,,,,,,,,Royal Never Give Up,WIN,9018
1,Sejuani,Mlxg,JUNGLE,,0,2,10,5,190,84,10,4.3,13294,301,16.2%,,45,21,10,,,1.02,0.23,0.48,,7886,2667,5072,147,179,9.8%,0.23,76.9%,,0,0,0,0,-898,-35,-169,0,,,,,,,,,,,,,,,,Royal Never Give Up,WIN,9018
2,Jayce,xiaohu,MID,,3,1,7,10,397,21,2,9,18353,416,22.4%,,15,28,10,,,0.34,0.23,0.63,,15420,12258,3103,59,349,19.2%,0.23,76.9%,,0,0,0,0,-459,-8,184,0,,,,,,,,,,,,,,,,Royal Never Give Up,WIN,9018
3,Twitch,Uzi,ADC,,9,0,2,Perfect KDA,472,39,0,10.7,20966,475,25.6%,,14,18,4,,,0.32,0.09,0.41,,39697,30667,4586,4444,899,49.4%,0.25,84.6%,,0,0,1,0,-1073,-20,-324,0,,,,,,,,,,,,,,,,Royal Never Give Up,WIN,9018
4,Janna,Ming,SUPPORT,,0,0,11,Perfect KDA,47,0,0,1.1,14618,331,17.8%,,69,5,19,,,1.56,0.43,0.11,,1942,327,1186,429,44,2.4%,0.25,84.6%,,0,0,0,0,-234,13,238,0,,,,,,,,,,,,,,,,Royal Never Give Up,WIN,9018
5,Gnar,Expect,TOP,,0,5,3,0.6,346,16,3,7.8,15349,348,19.5%,,26,12,9,,,0.59,0.2,0.27,,12029,9257,2772,0,272,19.9%,0.07,60%,,0,0,0,0,-16,2,-770,0,,,,,,,,,,,,,,,,G2 Esports,LOSS ,9018
6,Rek,Trick,JUNGLE,,1,2,2,1.5,209,95,9,4.7,13543,307,17.2%,,41,10,13,,,0.93,0.29,0.23,,2688,1782,313,593,61,4.4%,0.07,60%,,0,0,0,0,898,35,169,0,,,,,,,,,,,,,,,,G2 Esports,LOSS ,9018
7,Ryze,Perkz,MID,,2,0,2,Perfect KDA,439,25,1,9.9,17792,403,22.6%,,18,8,8,,,0.41,0.18,0.18,,16098,366,15657,75,364,26.6%,0.09,80%,,0,0,0,0,459,8,-184,0,,,,,,,,,,,,,,,,G2 Esports,LOSS ,9018
8,Tristana,Zven,ADC,,2,4,2,1,437,14,0,9.9,18533,420,23.6%,,15,25,7,,,0.34,0.16,0.57,,28002,18366,8014,1622,634,46.3%,0.09,80%,,1,0,0,0,1073,20,324,0,,,,,,,,,,,,,,,,G2 Esports,LOSS ,9018
9,Lulu,Mithy,SUPPORT,,0,2,4,2,18,0,0,0.4,13434,304,17.1%,,62,11,16,,,1.4,0.36,0.25,,1686,352,928,406,38,2.8%,0.09,80%,,0,0,0,0,234,-13,-238,0,,,,,,,,,,,,,,,,G2 Esports,LOSS ,9018
0,Cho,Thaldrin,TOP,,1,4,2,0.8,370,6,3,7.7,17050,355,19.2%,,28,9,4,,,0.58,0.08,0.19,,17277,3240,12181,1856,360,22.3%,0.06,37.5%,,0,0,0,0,-2382,-55,-1949,-1,,,,,,,,,,,,,,,,1907 Fenerbahce,LOSS,9017
1,Sejuani,Crash,JUNGLE,,1,1,7,8,242,86,11,5,16213,338,18.2%,,48,34,15,,,1,0.31,0.71,,11235,5994,4497,744,234,14.5%,0.17,100%,,0,0,0,0,-450,39,467,0,,,,,,,,,,,,,,,,1907 Fenerbahce,LOSS,9017
2,Ekko,Frozen,MID,,3,2,3,3,462,6,1,9.6,20511,427,23.1%,,17,8,5,,,0.35,0.1,0.17,,19757,1880,16915,962,411,25.5%,0.12,75%,,1,0,0,0,96,-7,1018,1,,,,,,,,,,,,,,,,1907 Fenerbahce,LOSS,9017
3,Xayah,padden,ADC,,2,1,1,3,512,45,9,10.7,20818,433,23.4%,,12,18,2,,,0.25,0.04,0.37,,26923,24029,1816,1078,561,34.7%,0.06,37.5%,,0,0,0,0,-145,-3,402,0,,,,,,,,,,,,,,,,1907 Fenerbahce,LOSS,9017
4,Janna,Japone,SUPPORT,,1,1,3,4,65,0,0,1.4,14364,299,16.1%,,86,20,29,,,1.79,0.6,0.42,,2287,358,1719,210,48,3%,0.08,50%,,0,0,0,0,412,13,48,0,,,,,,,,,,,,,,,,1907 Fenerbahce,LOSS,9017
5,Trundle,CuVee,TOP,,1,1,4,5,513,3,19,10.7,20392,425,23%,,34,16,9,,,0.71,0.19,0.33,,17034,10512,6522,0,355,13.6%,0.1,55.6%,,0,0,0,0,2382,55,1949,1,,,,,,,,,,,,,,,,Samsung Galaxy,WIN ,9017
6,Ezreal,Haru,JUNGLE,,3,1,6,9,222,86,10,4.6,16656,347,18.8%,,46,16,15,,,0.96,0.31,0.33,,19335,10889,8312,134,403,15.4%,0.19,100%,,0,0,0,0,450,-39,-467,0,,,,,,,,,,,,,,,,Samsung Galaxy,WIN ,9017
7,Syndra,Crown,MID,,1,4,4,1.3,388,21,0,8.1,16995,354,19.1%,,24,8,11,,,0.5,0.23,0.17,,32658,816,30140,1702,680,26%,0.1,55.6%,,0,0,0,0,-96,7,-1018,-1,,,,,,,,,,,,,,,,Samsung Galaxy,WIN ,9017
8,Tristana,Ruler,ADC,,4,1,1,5,518,18,0,10.8,21359,445,24.1%,,26,32,11,,,0.54,0.23,0.67,,49018,30831,16016,2171,1021,39%,0.1,55.6%,,1,0,0,0,145,3,-402,0,,,,,,,,,,,,,,,,Samsung Galaxy,WIN ,9017
9,Lulu,CoreJJ,SUPPORT,,0,1,5,5,33,1,0,0.7,13391,279,15.1%,,71,20,20,,,1.48,0.42,0.42,,7597,1304,4669,1624,158,6%,0.1,55.6%,,0,0,0,0,-412,-13,-48,0,,,,,,,,,,,,,,,,Samsung Galaxy,WIN ,9017
0,Maokai,sOAZ,TOP,,0,2,0,0,173,0,0,8.3,6369,305,20.7%,,9,2,2,,,0.43,0.1,0.1,,7702,1358,6344,0,369,38%,0,0%,,0,0,0,0,-509,-11,-441,-1,,,,,,,,,,,,,,,,Fnatic,LOSS,9016
